Product Name,Rating,Items Sold,Selling Price
MoYu Meilong Cube Robot MFJS Cube Robot Twist Puzzle Cube Cube Robot Display Box fit for 2x2/3x3/4x4/5x5 Cube,0.0 (1),64 sold,Rs. 833
Portible Pyramid Triangle Shape Magic Cube | Stickerless Magic Rubix's Cube,0.0 (4),8 sold,Rs. 549
Qiyi windmill Rubik's Puzzle Cube - Windmill Cube - Speedy (Black with Stickers),N/A,N/A,Rs. 545
Lube for Rubik Cube - Cube Lube 5ml - Cube Oil,0.0 (121),459 sold,Rs. 199
"Lube for Rubik Cube, Rubik Cube Lube 10ml, Super Smooth Turning with just 2 drops",0.0 (306),1.3K sold,Rs. 340
"Lube for Rubik Cube, Cube Lube, Silicone Based Lube for Cube 5ml",0.0 (67),319 sold,Rs. 220
Magic Cube Lube 10 ml  Oil Silicone Lubricants  Standard Lube Rubik's Cube,0.0 (24),135 sold,Rs. 279
"Lube for Rubik Cube, Rubik Cube Lube 10ml - Real MARU Lube",0.0 (197),957 sold,Rs. 290
Snake puzzle snake Cube Pieces 24 Blocks Magic Cubes Mini Plastic Twist Puzzle Toy,0.0 (7),46 sold,Rs. 170
Moyu Meilong RS3M 2020 Magnetic Rubiks Cube 3x3 With Strong Magnetics 56-mm High Quality Professional Budget Magnetic Cube,0.0 (125),545 sold,"Rs. 1,399"
3x3 Moyu stickerless Speed Cube,N/A,13 sold,Rs. 300
Infinity Cube Fidget Toy..Multicolor,0.0 (19),92 sold,Rs. 395
QY Rubiks Cube S2 Stickerless,0.0 (2),32 sold,Rs. 350
Rubiks cube 4x4 - Mind Puzzle Rubiks cube - Sticker less Magic Cube 4x4x4,0.0 (112),532 sold,Rs. 750
Original Qiyi 4x4 Rubiks Cube Sticker Less Best Quality Fast Speed Magic Rubik Cube Educational Puzzle Toys,0.0 (73),345 sold,Rs. 849
"GAN Sticker Logo, 3x3 Cube Logo Stickers, Rubik Cube sticker logo 5pcs",0.0 (46),236 sold,Rs. 250
Online Venue High-Quality Rubik’s Cube 3 x 3 Magnetic High-Speed Cube Educational Puzzle Toy for Kids Mind Game - Retro Fidget Toy Travel Brain Teaser for Adults & Kids Mind Sharpening Game,0.0 (11),54 sold,Rs. 399
Moyu Meilong 3c Original Rubik's Cube 3x3 Magic Puzzles Speed rubik Cube Magnets spring Cube 3*3 Sticker less Toys For Children R3SM,N/A,N/A,Rs. 289
8 Balls Metal Spinner for Boys - Fast Spinning Fidget Spinner - Big Metal Hand Spinner Stres...,0.0 (4),23 sold,Rs. 240
budget timer with good hand sensors save and replay times buttons | stopwatch for rubiks cube,0.0 (8),47 sold,"Rs. 2,998"
Fidget Cube Antistress Toys Hand Pinching Venting Anti Anxiety Games Kids Gift 6sided Playable Decompression Finger Tip Dice,0.0 (4),53 sold,Rs. 718
"Lube for Rubiks Cube | Super Smooth Turning for Moyu Qiyi Gan Cubes, Best Lubrication for Rubiks Cube Accessories and for the Magnetic Cube",0.0 (34),172 sold,Rs. 399
[Picube] SengSo 2x2 Crazy Cube 2x2x2 Infinity Cube Endless Speed Cube Professional Puzzle Toys For Children Kids Gift Toy,N/A,94 sold,Rs. 648
(Combo Pack) Original Qiyi 2x2 and 3x3 Rubik Cubes Sticker Less Qiyi Warrior S Best Quality Fast Magic Speed Cube Educational Puzzle Toys,0.0 (66),304 sold,Rs. 599
[Picube] SengSo Lustrous Cube 3X3X3 Light Magic Frosted Sticker Speed Puzzles Cubes Lighting Effect Educational Toys,N/A,46 sold,"Rs. 1,808"
GAN Monster Go EDU 3X3 V2 M Magnetic Magic Speed Cube Stickerless Professional Fidget Toys GAN EDU V2M Cubo Magico Puzzle,0.0 (1),45 sold,"Rs. 1,627"
2x2x2 Moyu Stickerless Magic Cube Speed Pocket Cube Moyu Black Puzzle Cube Educational Toys for Children,0.0 (9),56 sold,Rs. 280
Magnetic Speed Cube 2x2x2 and 3x3x3 Smooth Magic Cube Stikerless Puzzle,0.0 (1),14 sold,Rs. 299
Rubik's Cube Twisty 3x3 Sticker less Speedy Puzzle cube fast speed magic cube  - Classic Brain Teaser Toy,0.0 (157),654 sold,Rs. 699
Fidget Spinner for kids,0.0 (1),N/A,Rs. 199
Rubik Cube 3X3 Best For Smart Student,0.0 (34),190 sold,Rs. 159
"SP Dealz Rubik’s Cube, The Original 3x3 Color-Matching Puzzle Classic Problem-Solving Challenging Brain Teaser Fidget Toy, for Adults & Kids Ages 8 and up",0.0 (47),262 sold,Rs. 288
Snake puzzle snake Cube Pieces 24 Blocks Magic Cubes Mini Plastic Twist Puzzle Toy,0.0 (24),228 sold,Rs. 175
Original Rubiks Cube 5x5 Sticker Less Best Quality Fast Speed Magic Rubik Speed Cube Educational Puzzle Toys,N/A,N/A,Rs. 949
"SP Dealz  Rubik's Cube, 3x3 Magnetic Speed Cube, Super Fast Problem-Solving Challenging Retro Fidget Toy Travel Brain Teaser, for Adults & Kids Ages 8 and Up",0.0 (192),1.2K sold,Rs. 289
Moyu Magnetic Rubik Cube Pyramid 3x3x3 - Sticker less Puzzle Pyraminx Rubik's Cube 3x3x3,0.0 (5),43 sold,Rs. 699
Cube 3x3 Sticker Best Quality Fast Magic Speed Cube Smooth Educational Puzzle Toys,0.0 (16),138 sold,Rs. 99
Fidget Cube Antistress Hand Spinner Decompression Toy for Autism ADHD Anxiety Sensory Toys for Kids Adults Stress Relief Toys,0.0 (1),1.9K sold,Rs. 792
"Creative Cool Mini Magic Cube Keychain, Birthday Holiday Gift, Novelty Toy, Game Bag Pendant",N/A,N/A,Rs. 621
Educational Toy Rubik’s Cube for kids children,0.0 (2),6 sold,Rs. 349
"Experience the Axis Gold Mirror Cube - The Perfect Educational Puzzle Cube for Kids"" | Magic Cube Stickerless - Super Smooth , Original Axis Mirror Cube , Educational Puzzle Cube For Kids, Boys & Girls",0.0 (18),84 sold,Rs. 699
Finger Tip Spinner with Metal Balls 8 Pointed | Fidget Spinner Hand Toy for Kids Speedy Spinner,0.0 (12),95 sold,Rs. 199
Rubiks Cube 4x4 High quality Magic Cube Stickerless Fast Speed Puzzle Toy-Rubik's Cube Educational Toy pre lubracated,0.0 (54),171 sold,Rs. 899
